etl_name,process,start_time,end_time,source_count,destination_count,status,error_message
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:00:15.684674,2025-11-15 14:00:15.696699,data target/raw/dummy_realisasi_bus.csv,data target/stage/realisasi_bus.csv,515,515,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:00:15.696699,2025-11-15 14:00:15.698701,data target/raw/dummy_routes.csv,data target/stage/routes.csv,21,21,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:00:15.698701,2025-11-15 14:00:15.702043,data target/raw/dummy_shelter_corridor.csv,data target/stage/shelter_corridor.csv,74,74,SUCCESS,
realisasi_bus,target_merge,2025-11-15 14:00:15.730015,2025-11-15 14:00:15.750486,data target/raw/dummy_realisasi_bus.csv,data target/target/realisasi_bus.csv,515,515,SUCCESS,
routes,target_merge,2025-11-15 14:00:15.750486,2025-11-15 14:00:15.750486,data target/raw/dummy_routes.csv,data target/target/routes.csv,21,21,SUCCESS,
shelter_corridor,target_merge,2025-11-15 14:00:15.756638,2025-11-15 14:00:15.760019,data target/raw/dummy_shelter_corridor.csv,data target/target/shelter_corridor.csv,74,74,SUCCESS,
raw_csv_processing,RAW CSV → RAW CSV,2025-11-15 14:01:15.053038,2025-11-15 14:01:15.053038,data source,data target/raw,74,74,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:01:17.783284,2025-11-15 14:01:17.797890,data target/raw/dummy_realisasi_bus.csv,data target/stage/realisasi_bus.csv,515,515,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:01:17.797890,2025-11-15 14:01:17.800838,data target/raw/dummy_routes.csv,data target/stage/routes.csv,21,21,SUCCESS,
stage_csv_to_csv,RAW → STAGE CSV,2025-11-15 14:01:17.800838,2025-11-15 14:01:17.802863,data target/raw/dummy_shelter_corridor.csv,data target/stage/shelter_corridor.csv,74,74,SUCCESS,
insert_to_transaksi_bus(),STAGE → POSTGRES,2025-11-15 14:01:17.829802,2025-11-15 14:01:17.829802,,,0,0,FAILED,
insert_to_transaksi_bus(),STAGE → POSTGRES,2025-11-15 14:01:17.802863,2025-11-15 14:01:17.829802,stage csv,postgres.stage,,,SUCCESS,
insert_to_transaksi_halte(),STAGE → POSTGRES,2025-11-15 14:01:17.857091,2025-11-15 14:01:17.857091,,,0,0,FAILED,
insert_to_transaksi_halte(),STAGE → POSTGRES,2025-11-15 14:01:17.829802,2025-11-15 14:01:17.857091,stage csv,postgres.stage,,,SUCCESS,
