file_name,product_name,reviewer,review_date,rating,variant,review
reviews_page_1.html,"Moell Hair Care deals! - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Panax Ginseng,Kemiri, Biotin - Skincare Bayi Formulasi Dokter- Perawatan Rambut Bayi dan Anak",O***f,2025-11-02,5,PROMO SHAMPOO & HAIR LOTION,"Hair lotionnya wangi dan beneran buat manjangin rambut dan menumbuhkan anakku coocok
Kemasan: Bagus rapi
Kualitas pengerjaan: Cepat
Warna: Coklat bagus"
reviews_page_1.html,"Moell Hair Care deals! - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Panax Ginseng,Kemiri, Biotin - Skincare Bayi Formulasi Dokter- Perawatan Rambut Bayi dan Anak",E***h,2025-11-02,5,PROMO SHAMPOO & HAIR LOTION,"Paket nya sudah diterima murah dapat bonus nya lagi,semoga cocok buat anak saya"
reviews_page_1.html,Moell Physical Sunscreen 30gr SPF 50+ PA++++ - Broad Spectrum UVA-UVB - Perlindungan Maksimal Kulit Anak - Skincare Dengan Microbiome Teknologi Formulasi Dokter - Skincare Bayi & Skincare Anak,L***p,2025-11-02,5,SUNSCREEN SAJA,"Kemasan: Baik
Kualitas pengerjaan: Baik
Warna: Baik"
reviews_page_1.html,Moell Glow Barrier Kit deals! Body Lotion 185gr & Physical Sunscreen 30gr & Face Cream 40gr - Physical Sunscreen SPF 50(+) PA(++++) -Melindungi Dan Memperkuat Skin Barrier - Dengan Microbiome Teknologi Formulasi Dokter - Skincare Anak,A***o,2025-11-02,5,[TERMURAH] BL + SS + FC + BW,Barang semua datang dengan lengkap
reviews_page_1.html,Moell Body Lotion Bayi 185gr - Melembapkan Kulit Badan Anak - Perawatan Kulit Kering dan Sensitif - Pelembap Bayi Anak Daily Use - Sensitif Kering Ruam - Skincare Bayi Formulasi Dokter dengan Microbiome Teknologi - Skincare Anak,K***d,2025-11-01,5,BODY LOTION TRAVEL SIZE 80gr,"Terima kasih, Sehat dan sukses untuk semuanya, yang sakit disehatkan, yang terpuruk lekas bangkit, yang berjuang menghasilkan, terwujud impian dan terjawab doanya"
reviews_page_1.html,Moell Physical Sunscreen 30gr SPF 50+ PA++++ - Broad Spectrum UVA-UVB - Perlindungan Maksimal Kulit Anak - Skincare Microbiome Teknologi Formulasi Dokter - Skincare Bayi - Skincare Anak,F***y,2025-11-01,5,SUNSCREEN 30gr SAJA,"Terima kasih, Sehat dan sukses untuk semuanya, yang sakit disehatkan, yang terpuruk lekas bangkit, yang berjuang menghasilkan, terwujud impian dan terjawab doanya"
reviews_page_1.html,Moell Skin Protection deals! Body Lotion 185gr & Physical Sunscreen 30gr & Face Cream 40gr - Physical Sunscreen SPF 50(+) PA(++++) - Face Cream Plant Based Probiotics -Melindungi Dan Memperkuat Skin Barrier - Dengan Microbiome Teknologi Formulasi Dokter,N***v,2025-11-01,5,[FREE POUCH] BL + SS + FC,Kemasan: Ok lah baru nyobak semoga cocok buat anak aku
reviews_page_1.html,"Moell Hair Care deals! - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Panax Ginseng,Kemiri, Biotin - Skincare Bayi Formulasi Dokter- Perawatan Rambut Bayi dan Anak",N***k,2025-11-01,5,PROMO SHAMPOO & HAIR LOTION,
reviews_page_1.html,Moell Barrier Protection SALE! Body Lotion 185gr & Face Cream 40gr - Body Lotion Kulit Sensitif & Kering - Face Cream With Plant Based Probiotics - Skincare Dengan Microbiome Teknologi Formulasi Dokter - Skincare Bayi - Skincare Anak,I***h,2025-11-01,5,PROMO BODY LOTION 185gr + FACE CREAM 40gr,
reviews_page_1.html,Moell Healthy Body Care Body Wash 185gr & Body Lotion 185gr - Melindungi dan Memperkuat Skin Barrier - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi & Anak,M***u,2025-11-01,5,PROMO BODY WASH REFILL & BODY LOTION,"Kemasan: Rapihh aman
Kualitas pengerjaan: Cepet banget
Warna: Coklat krem"
